input,output
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:A; fi:C","A: a-->A, b-->A; in:A; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:A; fi:D","A: a-->A, b-->A; in:A; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:A; fi:E","A: a-->A, b-->A; in:A; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:A; fi:A,B","A: a-->A, b-->A; in:A; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:A; fi:A,C","A: a-->A, b-->A; in:A; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:A; fi:A,D","A: a-->A, b-->A; in:A; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:A; fi:A,E","A: a-->A, b-->A; in:A; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:A; fi:B,C","A: a-->A, b-->A; in:A; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:A; fi:B,D","A: a-->A, b-->A; in:A; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:A; fi:B,E","A: a-->A, b-->A; in:A; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:A; fi:C,D","A: a-->A, b-->A; in:A; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:A; fi:C,E","A: a-->A, b-->A; in:A; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:A; fi:D,E","A: a-->A, b-->A; in:A; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:A","A: a-->A, b-->A; B: a-->A, b-->A; in:B; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:B","A: a-->A, b-->A; B: a-->A, b-->A; in:B; fi:B"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:C","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:D","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:E","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:A,B","A_B: a-->A_B, b-->A_B; in:A_B; fi:A_B"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:A,C","A: a-->A, b-->A; B: a-->A, b-->A; in:B; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:A,D","A: a-->A, b-->A; B: a-->A, b-->A; in:B; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:A,E","A: a-->A, b-->A; B: a-->A, b-->A; in:B; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:B,C","A: a-->A, b-->A; B: a-->A, b-->A; in:B; fi:B"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:B,D","A: a-->A, b-->A; B: a-->A, b-->A; in:B; fi:B"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:B,E","A: a-->A, b-->A; B: a-->A, b-->A; in:B; fi:B"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:C,D","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:C,E","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:B; fi:D,E","A_B: a-->A_B, b-->A_B; in:A_B; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:","A_C: a-->A_C, b-->A_C; in:A_C; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:A","A: a-->A, b-->A; C: a-->A, b-->A; in:C; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:B","A_C: a-->A_C, b-->A_C; in:A_C; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:C","A: a-->A, b-->A; C: a-->A, b-->A; in:C; fi:C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:D","A_C: a-->A_C, b-->A_C; in:A_C; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:E","A_C: a-->A_C, b-->A_C; in:A_C; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:A,B","A: a-->A, b-->A; C: a-->A, b-->A; in:C; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:A,C","A_C: a-->A_C, b-->A_C; in:A_C; fi:A_C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:A,D","A: a-->A, b-->A; C: a-->A, b-->A; in:C; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:A,E","A: a-->A, b-->A; C: a-->A, b-->A; in:C; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:B,C","A: a-->A, b-->A; C: a-->A, b-->A; in:C; fi:C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:B,D","A_C: a-->A_C, b-->A_C; in:A_C; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:B,E","A_C: a-->A_C, b-->A_C; in:A_C; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:C,D","A: a-->A, b-->A; C: a-->A, b-->A; in:C; fi:C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:C,E","A: a-->A, b-->A; C: a-->A, b-->A; in:C; fi:C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:C; fi:D,E","A_C: a-->A_C, b-->A_C; in:A_C; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:D; fi:","A_D: a-->A_D, b-->A_D; in:A_D; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->A; E: a-->A, b-->A; in:D; fi:A","A: a-->A, b-->A; D: a-->A, b-->A; in:D; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:","A_B_C_D_E: a-->A_B_C_D_E, b-->A_B_C_D_E; in:A_B_C_D_E; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:A","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->B_C, b-->D; in:E; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:B","A_C: a-->A_C, b-->A_C; B: a-->A_C, b-->A_C; D: a-->A_C, b-->B; E: a-->A_C, b-->D; in:E; fi:B"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:C","A_B_D: a-->A_B_D, b-->A_B_D; C: a-->A_B_D, b-->A_B_D; E: a-->C, b-->A_B_D; in:E; fi:C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:D","A_B_C: a-->A_B_C, b-->A_B_C; D: a-->A_B_C, b-->A_B_C; E: a-->A_B_C, b-->D; in:E; fi:D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:E","A_B_C_D: a-->A_B_C_D, b-->A_B_C_D; E: a-->A_B_C_D, b-->A_B_C_D; in:E; fi:E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:A,B","A_B: a-->A_B, b-->A_B; C_D: a-->A_B, b-->A_B; E: a-->C_D, b-->C_D; in:E; fi:A_B"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:A,C","A_C: a-->A_C, b-->A_C; B: a-->A_C, b-->A_C; D: a-->A_C, b-->B; E: a-->A_C, b-->D; in:E; fi:A_C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:A,D","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->B_C, b-->D; in:E; fi:A,D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:A,E","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->B_C, b-->D; in:E; fi:A,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:B,C","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->B_C, b-->D; in:E; fi:B_C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:B,D","A_C: a-->A_C, b-->A_C; B: a-->A_C, b-->A_C; D: a-->A_C, b-->B; E: a-->A_C, b-->D; in:E; fi:B,D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:B,E","A_C: a-->A_C, b-->A_C; B: a-->A_C, b-->A_C; D: a-->A_C, b-->B; E: a-->A_C, b-->D; in:E; fi:B,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:C,D","A_B: a-->A_B, b-->A_B; C_D: a-->A_B, b-->A_B; E: a-->C_D, b-->C_D; in:E; fi:C_D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:C,E","A_B_D: a-->A_B_D, b-->A_B_D; C: a-->A_B_D, b-->A_B_D; E: a-->C, b-->A_B_D; in:E; fi:C,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->C, b-->D; in:E; fi:D,E","A_B_C: a-->A_B_C, b-->A_B_C; D: a-->A_B_C, b-->A_B_C; E: a-->A_B_C, b-->D; in:E; fi:D,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:","A_B_C_D_E: a-->A_B_C_D_E, b-->A_B_C_D_E; in:A_B_C_D_E; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:A","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->D, b-->B_C; in:E; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:B","A_C: a-->A_C, b-->A_C; B: a-->A_C, b-->A_C; D: a-->A_C, b-->B; E: a-->D, b-->A_C; in:E; fi:B"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:C","A_B_D: a-->A_B_D, b-->A_B_D; C: a-->A_B_D, b-->A_B_D; E: a-->A_B_D, b-->C; in:E; fi:C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:D","A_B_C: a-->A_B_C, b-->A_B_C; D: a-->A_B_C, b-->A_B_C; E: a-->D, b-->A_B_C; in:E; fi:D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:E","A_B_C_D: a-->A_B_C_D, b-->A_B_C_D; E: a-->A_B_C_D, b-->A_B_C_D; in:E; fi:E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:A,B","A_B: a-->A_B, b-->A_B; C_D: a-->A_B, b-->A_B; E: a-->C_D, b-->C_D; in:E; fi:A_B"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:A,C","A_C: a-->A_C, b-->A_C; B: a-->A_C, b-->A_C; D: a-->A_C, b-->B; E: a-->D, b-->A_C; in:E; fi:A_C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:A,D","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->D, b-->B_C; in:E; fi:A,D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:A,E","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->D, b-->B_C; in:E; fi:A,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:B,C","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->D, b-->B_C; in:E; fi:B_C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:B,D","A_C: a-->A_C, b-->A_C; B: a-->A_C, b-->A_C; D: a-->A_C, b-->B; E: a-->D, b-->A_C; in:E; fi:B,D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:B,E","A_C: a-->A_C, b-->A_C; B: a-->A_C, b-->A_C; D: a-->A_C, b-->B; E: a-->D, b-->A_C; in:E; fi:B,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:C,D","A_B: a-->A_B, b-->A_B; C_D: a-->A_B, b-->A_B; E: a-->C_D, b-->C_D; in:E; fi:C_D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:C,E","A_B_D: a-->A_B_D, b-->A_B_D; C: a-->A_B_D, b-->A_B_D; E: a-->A_B_D, b-->C; in:E; fi:C,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->B; E: a-->D, b-->C; in:E; fi:D,E","A_B_C: a-->A_B_C, b-->A_B_C; D: a-->A_B_C, b-->A_B_C; E: a-->D, b-->A_B_C; in:E; fi:D,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:","A_B_C_D_E: a-->A_B_C_D_E, b-->A_B_C_D_E; in:A_B_C_D_E; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:A","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->B_C, b-->D; in:E; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:B","A_C_D: a-->A_C_D, b-->A_C_D; B: a-->A_C_D, b-->A_C_D; E: a-->B, b-->A_C_D; in:E; fi:B"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:C","A_B: a-->A_B, b-->A_B; C: a-->A_B, b-->A_B; D: a-->A_B, b-->C; E: a-->A_B, b-->D; in:E; fi:C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:D","A_B_C: a-->A_B_C, b-->A_B_C; D: a-->A_B_C, b-->A_B_C; E: a-->A_B_C, b-->D; in:E; fi:D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:E","A_B_C_D: a-->A_B_C_D, b-->A_B_C_D; E: a-->A_B_C_D, b-->A_B_C_D; in:E; fi:E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:A,B","A_B: a-->A_B, b-->A_B; C: a-->A_B, b-->A_B; D: a-->A_B, b-->C; E: a-->A_B, b-->D; in:E; fi:A_B"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:A,C","A_C: a-->A_C, b-->A_C; B_D: a-->A_C, b-->A_C; E: a-->B_D, b-->B_D; in:E; fi:A_C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:A,D","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->B_C, b-->D; in:E; fi:A,D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:A,E","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->B_C, b-->D; in:E; fi:A,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:B,C","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->B_C, b-->D; in:E; fi:B_C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:B,D","A_C: a-->A_C, b-->A_C; B_D: a-->A_C, b-->A_C; E: a-->B_D, b-->B_D; in:E; fi:B_D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:B,E","A_C_D: a-->A_C_D, b-->A_C_D; B: a-->A_C_D, b-->A_C_D; E: a-->B, b-->A_C_D; in:E; fi:B,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:C,D","A_B: a-->A_B, b-->A_B; C: a-->A_B, b-->A_B; D: a-->A_B, b-->C; E: a-->A_B, b-->D; in:E; fi:C,D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:C,E","A_B: a-->A_B, b-->A_B; C: a-->A_B, b-->A_B; D: a-->A_B, b-->C; E: a-->A_B, b-->D; in:E; fi:C,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->B, b-->D; in:E; fi:D,E","A_B_C: a-->A_B_C, b-->A_B_C; D: a-->A_B_C, b-->A_B_C; E: a-->A_B_C, b-->D; in:E; fi:D,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:","A_B_C_D_E: a-->A_B_C_D_E, b-->A_B_C_D_E; in:A_B_C_D_E; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:A","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->D, b-->B_C; in:E; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:B","A_C_D: a-->A_C_D, b-->A_C_D; B: a-->A_C_D, b-->A_C_D; E: a-->A_C_D, b-->B; in:E; fi:B"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:C","A_B: a-->A_B, b-->A_B; C: a-->A_B, b-->A_B; D: a-->A_B, b-->C; E: a-->D, b-->A_B; in:E; fi:C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:D","A_B_C: a-->A_B_C, b-->A_B_C; D: a-->A_B_C, b-->A_B_C; E: a-->D, b-->A_B_C; in:E; fi:D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:E","A_B_C_D: a-->A_B_C_D, b-->A_B_C_D; E: a-->A_B_C_D, b-->A_B_C_D; in:E; fi:E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:A,B","A_B: a-->A_B, b-->A_B; C: a-->A_B, b-->A_B; D: a-->A_B, b-->C; E: a-->D, b-->A_B; in:E; fi:A_B"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:A,C","A_C: a-->A_C, b-->A_C; B_D: a-->A_C, b-->A_C; E: a-->B_D, b-->B_D; in:E; fi:A_C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:A,D","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->D, b-->B_C; in:E; fi:A,D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:A,E","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->D, b-->B_C; in:E; fi:A,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:B,C","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->B_C; E: a-->D, b-->B_C; in:E; fi:B_C"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:B,D","A_C: a-->A_C, b-->A_C; B_D: a-->A_C, b-->A_C; E: a-->B_D, b-->B_D; in:E; fi:B_D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:B,E","A_C_D: a-->A_C_D, b-->A_C_D; B: a-->A_C_D, b-->A_C_D; E: a-->A_C_D, b-->B; in:E; fi:B,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:C,D","A_B: a-->A_B, b-->A_B; C: a-->A_B, b-->A_B; D: a-->A_B, b-->C; E: a-->D, b-->A_B; in:E; fi:C,D"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:C,E","A_B: a-->A_B, b-->A_B; C: a-->A_B, b-->A_B; D: a-->A_B, b-->C; E: a-->D, b-->A_B; in:E; fi:C,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->C; E: a-->D, b-->B; in:E; fi:D,E","A_B_C: a-->A_B_C, b-->A_B_C; D: a-->A_B_C, b-->A_B_C; E: a-->D, b-->A_B_C; in:E; fi:D,E"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->E; E: a-->B, b-->C; in:D; fi:","A_B_C_D_E: a-->A_B_C_D_E, b-->A_B_C_D_E; in:A_B_C_D_E; fi:"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->E; E: a-->B, b-->C; in:D; fi:A","A: a-->A, b-->A; B_C: a-->A, b-->A; D: a-->A, b-->E; E: a-->B_C, b-->B_C; in:D; fi:A"
"A: a-->A, b-->A; B: a-->A, b-->A; C: a-->A, b-->A; D: a-->A, b-->E; E: a-->B, b-->C; in:D; fi:B","A_C: a-->A_C, b-->A_C; B: a-->A_C, b-->A_C; D: a-->A_C, b-->E; E: a-->B, b-->A_C; in:D; fi:B"
